dataset,n_players,n_excerpts_per_player,iteration,accuracy,precision,recall,f1,kappa
bilbao,3,2,10,0.16923076923076924,0.06094957673905042,0.1641025641025641,0.08588334742180896,0.09605974761782121
bilbao,3,2,11,0.15384615384615385,0.06724598930481283,0.16923076923076924,0.09273739081431388,0.09194818389636783
bilbao,3,2,12,0.16923076923076924,0.09879863726017571,0.16923076923076924,0.1083916083916084,0.09999999999999987
bilbao,3,2,13,0.16923076923076924,0.05576101249178173,0.17692307692307693,0.08411395367917107,0.10413476263399701
bilbao,3,2,14,0.09230769230769231,0.024050510892616155,0.08974358974358973,0.03753315649867374,0.013124034997426648
bilbao,3,3,0,0.27692307692307694,0.15403412377096587,0.2794871794871795,0.1886436775100743,0.21646576045139776
bilbao,3,3,1,0.18461538461538463,0.08566702115089211,0.1769230769230769,0.10574980574980576,0.11462349010537132
bilbao,3,3,2,0.18461538461538463,0.07889546351084811,0.2,0.09496596593370787,0.12117346938775508
bilbao,3,3,3,0.18461538461538463,0.11389548140909302,0.19743589743589743,0.11236958551536555,0.1205003829461323
bilbao,3,3,4,0.13846153846153847,0.0446532634032634,0.14615384615384613,0.060596368288675984,0.07166539148176465
bilbao,3,3,5,0.2,0.07496114996114997,0.1948717948717949,0.10306842915538568,0.12953901622456876
bilbao,3,3,6,0.15384615384615385,0.05595942519019441,0.15512820512820513,0.07942623307648773,0.08427254098360659
bilbao,3,3,7,0.2153846153846154,0.11408171774025434,0.2076923076923077,0.1247810160853639,0.1473765432098766
bilbao,3,3,8,0.24615384615384617,0.12166724678036894,0.23333333333333336,0.14226097788850825,0.1806020066889633
bilbao,3,3,9,0.16923076923076924,0.05537795537795538,0.1769230769230769,0.08310228233305156,0.10230179028132991
bilbao,3,3,10,0.2,0.10117431588019822,0.18205128205128204,0.11902034616966745,0.12548512289780078
bilbao,3,3,11,0.15384615384615385,0.18796844181459568,0.15512820512820513,0.1327117327117327,0.08168507577703565
bilbao,3,3,12,0.2,0.11355311355311354,0.2,0.1147382029734971,0.1333333333333333
bilbao,3,3,13,0.15384615384615385,0.10576923076923075,0.16025641025641027,0.11271063619241757,0.08544384753133794
bilbao,3,3,14,0.16923076923076924,0.1804931460801906,0.16794871794871796,0.13291949596297423,0.10069177555726372
bilbao,3,5,0,0.2153846153846154,0.11891377852916316,0.21923076923076923,0.13224812821587015,0.1489088575096278
bilbao,3,5,1,0.23076923076923078,0.1300058275058275,0.20769230769230768,0.14238261738261737,0.16172298168687138
bilbao,3,5,2,0.3076923076923077,0.30585141354372125,0.2987179487179487,0.254040404040404,0.2484583761562179
bilbao,3,5,3,0.13846153846153847,0.07755705832628909,0.15384615384615385,0.08045610303674819,0.07190209077001519
bilbao,3,5,4,0.3076923076923077,0.20229770229770228,0.2974358974358975,0.22718058294981372,0.24729799279464737
bilbao,3,5,5,0.26153846153846155,0.259342532999822,0.25384615384615383,0.20662670662670662,0.19856152067814026
bilbao,3,5,6,0.23076923076923078,0.12959988729219496,0.24743589743589745,0.1376179376179376,0.1734486266531028
bilbao,3,5,7,0.2153846153846154,0.07837995337995339,0.2205128205128205,0.10625841395072164,0.15412094922174036
bilbao,3,5,8,0.2153846153846154,0.1440418555803171,0.2307692307692308,0.16721724730774504,0.15390505359877482
bilbao,3,5,9,0.18461538461538463,0.1629772321622916,0.19102564102564099,0.14248862248862249,0.1193762781186094
bilbao,3,5,10,0.2923076923076923,0.21194638694638698,0.2948717948717949,0.22123602892833666,0.23313670171838952
bilbao,3,5,11,0.26153846153846155,0.3294871794871795,0.2692307692307692,0.25211389917272264,0.20630882727041466
bilbao,3,5,12,0.2153846153846154,0.13513986013986015,0.22307692307692312,0.14528036066497604,0.15390505359877493
bilbao,3,5,13,0.2153846153846154,0.19485770639616792,0.21025641025641026,0.170754301928391,0.1480339244410177
bilbao,3,5,14,0.27692307692307694,0.25773086562560243,0.2846153846153846,0.2482559950171286,0.2190695296523517
bilbao,3,10,0,0.4307692307692308,0.5314102564102564,0.4282051282051282,0.4053237136233087,0.3845957011258956
bilbao,3,10,1,0.4,0.3694555444555444,0.3974358974358974,0.3524378587727004,0.35033316248077917
bilbao,3,10,2,0.3384615384615385,0.30982905982905984,0.33589743589743587,0.3085636585636585,0.28278162689248143
bilbao,3,10,3,0.4307692307692308,0.3385780885780886,0.40512820512820513,0.33471870010331545,0.38047398248325615
bilbao,3,10,4,0.3384615384615385,0.41993104934281406,0.3384615384615385,0.29634265869083687,0.28425096030729835
bilbao,3,10,5,0.38461538461538464,0.33644133644133645,0.38717948717948725,0.32402564755505936,0.33264887063655035
bilbao,3,10,6,0.47692307692307695,0.5241841491841491,0.48846153846153845,0.458807745798696,0.4337688957212401
bilbao,3,10,7,0.3230769230769231,0.2544590025359256,0.3166666666666667,0.2582144100243648,0.2666666666666666
bilbao,3,10,8,0.4307692307692308,0.4984949832775919,0.4179487179487179,0.41750258288719827,0.3823831535695943
bilbao,3,10,9,0.4153846153846154,0.48203296703296705,0.41923076923076924,0.3999530384145768,0.36682901820046143
bilbao,3,10,10,0.35384615384615387,0.26524586524586524,0.33974358974358976,0.2578164589034154,0.2974781266083375
bilbao,3,10,11,0.4307692307692308,0.507875457875458,0.43974358974358974,0.41846925004819746,0.38506775760675016
bilbao,3,10,12,0.38461538461538464,0.4339590964590964,0.3871794871794872,0.36733821733821725,0.33486825275006393
bilbao,3,10,13,0.4307692307692308,0.43675213675213675,0.42307692307692324,0.3933497874674345,0.3823831535695943
bilbao,3,10,14,0.5230769230769231,0.5346153846153846,0.5192307692307692,0.481099669561208,0.4830682401231401
bilbao,3,15,0,0.49230769230769234,0.4700244200244201,0.49615384615384617,0.46231204692743155,0.45014098948987447
bilbao,3,15,1,0.3230769230769231,0.27631257631257633,0.32564102564102565,0.2490842490842491,0.2670425422860071
bilbao,3,15,2,0.5692307692307692,0.5830891330891331,0.5615384615384615,0.5436341436341435,0.5327342747111683
bilbao,3,15,3,0.35384615384615387,0.3827087442472058,0.35256410256410253,0.33483294199406727,0.3005380476556496
bilbao,3,15,4,0.4153846153846154,0.41654232055569845,0.41923076923076924,0.37545232545232543,0.36699128651973356
bilbao,3,15,5,0.5076923076923077,0.5410561660561661,0.49743589743589745,0.4420630651399882,0.4646074646074646
bilbao,3,15,6,0.47692307692307695,0.47435897435897434,0.48846153846153845,0.4474343153076185,0.43333333333333335
bilbao,3,15,7,0.36923076923076925,0.3844065291433712,0.3692307692307693,0.31777752162367545,0.31666666666666665
bilbao,3,15,8,0.5846153846153846,0.6008547008547008,0.5884615384615384,0.5666547128085591,0.55
bilbao,3,15,9,0.5076923076923077,0.5613553113553114,0.49358974358974367,0.5008968156026979,0.46557040082219936
bilbao,3,15,10,0.3230769230769231,0.350612208304516,0.3243589743589744,0.2935740729858377,0.2687292252620812
