dataset,player_trained_on,test_type,iteration,accuracy,precision,recall,f1,kappa
cnsm,Lucie,Different Player,8,0.9238461538461539,0.9303831591459645,0.9129075902542736,0.9203722672401544,0.8809404868951277
cnsm,Lucie,Same Player,9,1.0,1.0,1.0,1.0,1.0
cnsm,Lucie,Different Player,9,0.9276923076923077,0.932662609582847,0.9178423856771792,0.924360781986575,0.8870489931924372
cnsm,Eugénie,Same Player,0,0.9166666666666666,0.9363636363636364,0.8666666666666667,0.883249791144528,0.8670360110803323
cnsm,Eugénie,Different Player,0,0.9034003091190108,0.9025098903685898,0.8876375629785341,0.8940283836913002,0.8488730178306481
cnsm,Eugénie,Same Player,1,0.9583333333333334,0.9696969696969697,0.9333333333333332,0.947089947089947,0.9342465753424658
cnsm,Eugénie,Different Player,1,0.9234930448222566,0.9211961417941534,0.9127347587249387,0.9166187801889505,0.8806368716957715
cnsm,Eugénie,Same Player,2,1.0,1.0,1.0,1.0,1.0
cnsm,Eugénie,Different Player,2,0.9312210200927357,0.9269646246774209,0.9268499054641989,0.9268857685524351,0.8930814807387726
cnsm,Eugénie,Same Player,3,1.0,1.0,1.0,1.0,1.0
cnsm,Eugénie,Different Player,3,0.9335394126738794,0.9314337377563833,0.9276299300303664,0.9294480894471411,0.8965222574223177
cnsm,Eugénie,Same Player,4,1.0,1.0,1.0,1.0,1.0
cnsm,Eugénie,Different Player,4,0.9227202472952086,0.914524615825194,0.9190534324740544,0.9166461694605408,0.880135019471112
cnsm,Eugénie,Same Player,5,1.0,1.0,1.0,1.0,1.0
cnsm,Eugénie,Different Player,5,0.9258114374034003,0.9183702252690157,0.9216705643874219,0.9199644108156743,0.8848601859120936
cnsm,Eugénie,Same Player,6,1.0,1.0,1.0,1.0,1.0
cnsm,Eugénie,Different Player,6,0.9358578052550232,0.9329592817545854,0.9313336337340702,0.9321237303569913,0.9002236101472743
cnsm,Eugénie,Same Player,7,1.0,1.0,1.0,1.0,1.0
cnsm,Eugénie,Different Player,7,0.9234930448222566,0.9210490612686706,0.9150813321571641,0.9178574668532908,0.8807685184064868
cnsm,Eugénie,Same Player,8,1.0,1.0,1.0,1.0,1.0
cnsm,Eugénie,Different Player,8,0.9350850077279753,0.9330395942616502,0.9306761715381464,0.9317798534932166,0.8989936160129353
cnsm,Eugénie,Same Player,9,1.0,1.0,1.0,1.0,1.0
cnsm,Eugénie,Different Player,9,0.9327666151468316,0.9297099275690884,0.9275495735397535,0.9285895024601437,0.8953901335290892
cnsm,Antonin,Same Player,0,1.0,1.0,1.0,1.0,1.0
cnsm,Antonin,Different Player,0,0.8836363636363637,0.8866552623004235,0.8757326777936986,0.8787179107948475,0.8187166788895572
cnsm,Antonin,Same Player,1,0.8571428571428571,0.5555555555555555,0.6666666666666666,0.6,0.7407407407407407
cnsm,Antonin,Different Player,1,0.8429090909090909,0.8329997845016974,0.8349533994588247,0.8335304091357904,0.7563700615719299
cnsm,Antonin,Same Player,2,1.0,1.0,1.0,1.0,1.0
cnsm,Antonin,Different Player,2,0.8872727272727273,0.8901178796866681,0.886917507904912,0.8870163098547593,0.8248660970346595
cnsm,Antonin,Same Player,3,1.0,1.0,1.0,1.0,1.0
cnsm,Antonin,Different Player,3,0.8574545454545455,0.8543329111169475,0.8531001930265668,0.8522670550186643,0.7786793026139658
cnsm,Antonin,Same Player,4,0.8571428571428571,0.8888888888888888,0.9166666666666666,0.8857142857142857,0.7666666666666666
cnsm,Antonin,Different Player,4,0.8981818181818182,0.897863926275949,0.8939970472629031,0.8950745950204336,0.8416896525067312
cnsm,Antonin,Same Player,5,1.0,1.0,1.0,1.0,1.0
cnsm,Antonin,Different Player,5,0.8618181818181818,0.8531482505713165,0.8724951547763556,0.8589424929344984,0.7881194414301309
cnsm,Antonin,Same Player,6,0.8571428571428571,0.5555555555555555,0.6666666666666666,0.6,0.7407407407407407
cnsm,Antonin,Different Player,6,0.8552727272727273,0.846787770174867,0.8497259062651787,0.8480538934663739,0.7755998628791122
cnsm,Antonin,Same Player,7,1.0,1.0,1.0,1.0,1.0
cnsm,Antonin,Different Player,7,0.893090909090909,0.903227194690162,0.8789162440500329,0.8880429347057196,0.8325435159026702
cnsm,Antonin,Same Player,8,1.0,1.0,1.0,1.0,1.0
cnsm,Antonin,Different Player,8,0.8610909090909091,0.8604497275161096,0.8502846186870068,0.8546293374054539,0.7832622771965094
cnsm,Antonin,Same Player,9,1.0,1.0,1.0,1.0,1.0
cnsm,Antonin,Different Player,9,0.8727272727272727,0.889781483997015,0.858472339081921,0.8697293247849696,0.800262470677493
cnsm,Victor,Same Player,0,1.0,1.0,1.0,1.0,1.0
